id,biz_name,biz_info,biz_phone,biz_phone_ext,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,web_url,web_meta_title,web_meta_desc,web_meta_keys
12,Home Helpers,,(301) 863-1855,,21815 Three Notch Rd,Lexington Park,MD,20653,20653-5507,USA,Saint Marys,301,24037,,,EST,Y,38.2267,38.266426,-76.4333,-76.454326,,,,
13,Renaissance In Motion,,(804) 529-5949,,347 Northumberland Hwy,Callao,VA,22435,,USA,Northumberland,804,51133,,,EST,Y,37.9748,37.967113,-76.5747,-76.554475,,,,
14,Curves,,(301) 862-1442,,22840 Three Notch Rd,California,MD,20619,20619-3150,USA,Saint Marys,301,24037,,,EST,Y,38.2957,38.29438,-76.5457,-76.500119,,,,
15,Balenger Total Health,,(301) 373-2761,,44069 Grape Ivy Ln,California,MD,20619,20619-2093,USA,Saint Marys,301,24037,,,EST,Y,38.2957,38.298987,-76.5457,-76.551102,,,,
16,Woman's Wellness of Calvert Memorial Hospital,,(410) 394-2810,,14090 Solomons Island Rd S,Solomons,MD,20688,,USA,Calvert,410,24009,,8840,EST,Y,38.3374,38.334269,-76.4623,-76.465703,,,,
17,Special Olympics of St Mary's County,,(301) 373-8480,,24035 Three Notch Rd,Hollywood,MD,20636,20636-4871,USA,Saint Marys,301,24037,,,EST,Y,38.3548,38.329048,-76.5715,-76.553725,,,,
18,Chesapeake Hills Golf Club,,(410) 326-4653,,11352 Hg Trueman Rd,Lusby,MD,20657,20657-2849,USA,Calvert,410,24009,,8840,EST,Y,38.3848,38.380274,-76.4416,-76.430941,,,,
19,Richmond County YMCA,,(804) 333-4117,,74 Main St,Warsaw,VA,22572,22572-4200,USA,Richmond,804,51159,,,EST,Y,37.967,37.959112,-76.7668,-76.756948,,,,
20,Richmond County Little League,,(804) 333-5105,,218 Walnut St,Warsaw,VA,22572,22572-4262,USA,Richmond,804,51159,,,EST,Y,37.967,37.947322,-76.7668,-76.745534,,,,
21,Beafit,,(804) 453-7411,,18521 Northumberland Hwy,Reedville,VA,22539,22539-3412,USA,Northumberland,804,51133,,,EST,Y,37.8652,37.862468,-76.2904,-76.296344,,,,
22,Lively Rod & Gun Club,,(804) 462-5405,,10800 Courthouse Rd,Lancaster,VA,22503,,USA,Lancaster,804,51103,,,EST,Y,37.7649,37.781936,-76.5055,-76.473842,,,,
23,Holy Ghost Church Hall,,(301) 259-0237,,15848 Rock Point Rd,Newburg,MD,20664,20664-6603,USA,Charles,301,24017,,8840,EST,Y,38.3457,38.298565,-76.9162,-76.880681,,,,
24,World Gym Prince Frederick,,(410) 414-9001,,2190 Solomons Island Rd S,Prince Frederick,MD,20678,20678-3325,USA,Calvert,410,24009,,8840,EST,Y,38.528,38.507432,-76.5949,-76.559645,,,,
25,Lions Club Community Center,,(804) 214-9655,,717 Marshall Ave,Colonial Beach,VA,22443,22443-2716,USA,Westmoreland,804,51193,,,EST,Y,38.184,38.242563,-76.9988,-76.961422,,,,
26,Oak Grove Marine Services,,(804) 224-8265,,2986 Kings Hwy,Colonial Beach,VA,22443,22443-5310,USA,Westmoreland,804,51193,,,EST,Y,38.184,38.181424,-76.9988,-76.996557,,,,
27,Jim's Gym,,(804) 436-0202,,52 S Main St,Kilmarnock,VA,22482,22482-9537,USA,Northumberland,804,51133,,,EST,Y,37.7427,37.709904,-76.3858,-76.380139,,,,
28,Total Fitness For Women Llp,,(301) 855-9925,,521 Solomons Island Rd N,Prince Frederick,MD,20678,20678-3911,USA,Calvert,410,24009,,8840,EST,Y,38.528,38.550972,-76.5949,-76.592586,,,,
29,Befit Personal Training Inc,,(410) 414-8000,,230 W Dares Beach Rd,Prince Frederick,MD,20678,20678-3122,USA,Calvert,410,24009,,8840,EST,Y,38.528,38.545666,-76.5949,-76.592189,,,,
30,Slim & Tone,,(410) 414-7300,,192 W Dares Beach Rd,Prince Frederick,MD,20678,20678-3120,USA,Calvert,410,24009,,8840,EST,Y,38.528,38.545802,-76.5949,-76.591872,,,,
